year,period,geo_level,state,state_ansi,crop,data_item,domain,domain_category,yield_bu_per_acre
2024,YEAR,STATE,WISCONSIN,55.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,174.0
2024,YEAR,STATE,WYOMING,56.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,155.0
2023,YEAR,STATE,ALABAMA,1.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,164.0
2023,YEAR,STATE,ARIZONA,4.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,206.0
2023,YEAR,STATE,ARKANSAS,5.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,183.0
2023,YEAR,STATE,CALIFORNIA,6.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,178.0
2023,YEAR,STATE,COLORADO,8.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,122.0
2023,YEAR,STATE,DELAWARE,10.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,189.0
2023,YEAR,STATE,FLORIDA,12.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,158.0
2023,YEAR,STATE,GEORGIA,13.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,174.0
2023,YEAR,STATE,IDAHO,16.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,203.0
2023,YEAR,STATE,ILLINOIS,17.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,206.0
2023,YEAR,STATE,INDIANA,18.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,203.0
2023,YEAR,STATE,IOWA,19.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,201.0
2023,YEAR,STATE,KANSAS,20.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,119.0
2023,YEAR,STATE,KENTUCKY,21.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,187.0
2023,YEAR,STATE,LOUISIANA,22.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,175.0
2023,YEAR,STATE,MARYLAND,24.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,165.0
2023,YEAR,STATE,MICHIGAN,26.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,168.0
2023,YEAR,STATE,MINNESOTA,27.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,185.0
2023,YEAR,STATE,MISSISSIPPI,28.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,181.0
2023,YEAR,STATE,MISSOURI,29.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,153.0
2023,YEAR,STATE,MONTANA,30.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,129.0
2023,YEAR,STATE,NEBRASKA,31.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,182.0
2023,YEAR,STATE,NEW JERSEY,34.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,168.0
2023,YEAR,STATE,NEW MEXICO,35.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,155.0
2023,YEAR,STATE,NEW YORK,36.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,159.0
2023,YEAR,STATE,NORTH CAROLINA,37.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,147.0
2023,YEAR,STATE,NORTH DAKOTA,38.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,143.0
2023,YEAR,STATE,OHIO,39.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,198.0
2023,YEAR,STATE,OKLAHOMA,40.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,149.0
2023,YEAR,STATE,OREGON,41.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,214.0
2023,YEAR,STATE,OTHER STATES,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,0.0
2023,YEAR,STATE,PENNSYLVANIA,42.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,157.0
2023,YEAR,STATE,SOUTH CAROLINA,45.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,150.0
2023,YEAR,STATE,SOUTH DAKOTA,46.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,152.0
2023,YEAR,STATE,TENNESSEE,47.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,173.0
2023,YEAR,STATE,TEXAS,48.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,122.0
2023,YEAR,STATE,UTAH,49.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,185.0
2023,YEAR,STATE,VIRGINIA,51.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,157.0
2023,YEAR,STATE,WASHINGTON,53.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,240.0
2023,YEAR,STATE,WEST VIRGINIA,54.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,145.0
2023,YEAR,STATE,WISCONSIN,55.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,176.0
2023,YEAR,STATE,WYOMING,56.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,153.0
2022,YEAR,STATE,ALABAMA,1.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,118.0
2022,YEAR,STATE,ARIZONA,4.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,220.0
2022,YEAR,STATE,ARKANSAS,5.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,173.0
2022,YEAR,STATE,CALIFORNIA,6.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,177.0
2022,YEAR,STATE,COLORADO,8.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,121.0
2022,YEAR,STATE,DELAWARE,10.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,170.0
2022,YEAR,STATE,FLORIDA,12.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,164.0
2022,YEAR,STATE,GEORGIA,13.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,175.0
2022,YEAR,STATE,IDAHO,16.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,216.0
2022,YEAR,STATE,ILLINOIS,17.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,214.0
2022,YEAR,STATE,INDIANA,18.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,190.0
2022,YEAR,STATE,IOWA,19.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,200.0
2022,YEAR,STATE,KANSAS,20.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,115.0
2022,YEAR,STATE,KENTUCKY,21.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,156.0
2022,YEAR,STATE,LOUISIANA,22.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,170.0
2022,YEAR,STATE,MARYLAND,24.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,165.0
2022,YEAR,STATE,MICHIGAN,26.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,168.0
2022,YEAR,STATE,MINNESOTA,27.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,195.0
2022,YEAR,STATE,MISSISSIPPI,28.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,165.0
2022,YEAR,STATE,MISSOURI,29.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,161.0
2022,YEAR,STATE,MONTANA,30.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,112.0
2022,YEAR,STATE,NEBRASKA,31.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,165.0
2022,YEAR,STATE,NEW JERSEY,34.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,114.0
2022,YEAR,STATE,NEW MEXICO,35.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,149.0
2022,YEAR,STATE,NEW YORK,36.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,142.0
2022,YEAR,STATE,NORTH CAROLINA,37.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,126.0
2022,YEAR,STATE,NORTH DAKOTA,38.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,130.0
2022,YEAR,STATE,OHIO,39.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,187.0
2022,YEAR,STATE,OKLAHOMA,40.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,122.0
2022,YEAR,STATE,OREGON,41.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,237.0
2022,YEAR,STATE,OTHER STATES,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,0.0
2022,YEAR,STATE,PENNSYLVANIA,42.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,140.0
2022,YEAR,STATE,SOUTH CAROLINA,45.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,122.0
2022,YEAR,STATE,SOUTH DAKOTA,46.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,132.0
2022,YEAR,STATE,TENNESSEE,47.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,130.0
2022,YEAR,STATE,TEXAS,48.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,95.0
2022,YEAR,STATE,UTAH,49.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,165.0
2022,YEAR,STATE,VIRGINIA,51.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,167.0
2022,YEAR,STATE,WASHINGTON,53.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,220.0
2022,YEAR,STATE,WEST VIRGINIA,54.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,168.0
2022,YEAR,STATE,WISCONSIN,55.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,180.0
2022,YEAR,STATE,WYOMING,56.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,153.0
2021,YEAR,STATE,ALABAMA,1.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,163.0
2021,YEAR,STATE,ARIZONA,4.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,181.0
2021,YEAR,STATE,ARKANSAS,5.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,184.0
2021,YEAR,STATE,CALIFORNIA,6.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,188.0
2021,YEAR,STATE,COLORADO,8.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,129.0
2021,YEAR,STATE,DELAWARE,10.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,184.0
2021,YEAR,STATE,FLORIDA,12.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,176.0
2021,YEAR,STATE,GEORGIA,13.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,182.0
2021,YEAR,STATE,IDAHO,16.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,210.0
2021,YEAR,STATE,ILLINOIS,17.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,202.0
2021,YEAR,STATE,INDIANA,18.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,195.0
2021,YEAR,STATE,IOWA,19.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,204.0
2021,YEAR,STATE,KANSAS,20.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,139.0
2021,YEAR,STATE,KENTUCKY,21.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,192.0
2021,YEAR,STATE,LOUISIANA,22.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,183.0
2021,YEAR,STATE,MARYLAND,24.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,175.0
2021,YEAR,STATE,MICHIGAN,26.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,174.0
2021,YEAR,STATE,MINNESOTA,27.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,177.0
2021,YEAR,STATE,MISSISSIPPI,28.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,181.0
2021,YEAR,STATE,MISSOURI,29.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,159.0
2021,YEAR,STATE,MONTANA,30.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,100.0
2021,YEAR,STATE,NEBRASKA,31.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,194.0
2021,YEAR,STATE,NEW JERSEY,34.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,163.0
2021,YEAR,STATE,NEW MEXICO,35.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,184.0
2021,YEAR,STATE,NEW YORK,36.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,167.0
2021,YEAR,STATE,NORTH CAROLINA,37.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,149.0
2021,YEAR,STATE,NORTH DAKOTA,38.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,105.0
2021,YEAR,STATE,OHIO,39.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,193.0
2021,YEAR,STATE,OKLAHOMA,40.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,150.0
2021,YEAR,STATE,OREGON,41.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,240.0
2021,YEAR,STATE,OTHER STATES,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,0.0
2021,YEAR,STATE,PENNSYLVANIA,42.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,169.0
2021,YEAR,STATE,SOUTH CAROLINA,45.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,139.0
2021,YEAR,STATE,SOUTH DAKOTA,46.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,134.0
2021,YEAR,STATE,TENNESSEE,47.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,170.0
2021,YEAR,STATE,TEXAS,48.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,128.0
2021,YEAR,STATE,UTAH,49.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,179.0
2021,YEAR,STATE,VIRGINIA,51.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,160.0
2021,YEAR,STATE,WASHINGTON,53.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,248.0
2021,YEAR,STATE,WEST VIRGINIA,54.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,144.0
2021,YEAR,STATE,WISCONSIN,55.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,180.0
2021,YEAR,STATE,WYOMING,56.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,132.0
2020,YEAR,STATE,ALABAMA,1.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,158.0
2020,YEAR,STATE,ARIZONA,4.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,202.0
2020,YEAR,STATE,ARKANSAS,5.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,184.0
2020,YEAR,STATE,CALIFORNIA,6.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,187.0
2020,YEAR,STATE,COLORADO,8.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,116.0
2020,YEAR,STATE,DELAWARE,10.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,160.0
